Date,Timestamp,Open,High,Low,Close,Volume
20190412,06:00:00,1.30605,1.30677,1.30573,1.30587,5168.55
20190412,07:00:00,1.30585,1.30636,1.30502,1.30605,9735.249986
20190412,08:00:00,1.30605,1.30744,1.30572,1.307,14285.88999
20190412,09:00:00,1.307,1.30761,1.30632,1.30751,11183.42999
20190412,10:00:00,1.30752,1.3084,1.30707,1.30828,9540.689986
20190412,11:00:00,1.30828,1.31004,1.30799,1.30899,8835.809993
20190412,12:00:00,1.30901,1.31267,1.30899,1.31205,11594.41999
20190412,13:00:00,1.31204,1.31325,1.31079,1.31163,11481.04997
20190412,14:00:00,1.31162,1.31238,1.30915,1.31016,12012.97997
20190412,15:00:00,1.31016,1.31137,1.30813,1.30845,11303.69995
20190412,16:00:00,1.30845,1.30931,1.30769,1.3087,6852.279968
20190412,17:00:00,1.30871,1.30927,1.30782,1.30786,5093.229969
20190412,18:00:00,1.30787,1.30824,1.30747,1.30767,4591.629979
20190412,19:00:00,1.30764,1.30801,1.30668,1.3078,4112.810003
20190412,20:00:00,1.30781,1.30781,1.30634,1.30634,3283.339994
20190414,21:00:00,1.30737,1.30772,1.30691,1.30716,1089.450001
20190414,22:00:00,1.30717,1.30799,1.30717,1.30792,991.0500002
20190414,23:00:00,1.30793,1.30831,1.30775,1.30829,2326.129999
20190415,00:00:00,1.30829,1.30936,1.30799,1.30903,2825.809995
20190415,01:00:00,1.30903,1.30927,1.30856,1.30909,2744.099994
20190415,02:00:00,1.30908,1.31024,1.30903,1.31007,2783.409995
20190415,03:00:00,1.31007,1.31022,1.30926,1.30934,3439.240002
20190415,04:00:00,1.30935,1.30987,1.30929,1.30935,1440.600001
20190415,05:00:00,1.30935,1.30968,1.30878,1.3088,1523.150001
20190415,06:00:00,1.30879,1.30927,1.30786,1.30801,5634.45999
20190415,07:00:00,1.308,1.31057,1.3079,1.30992,10937.04001
20190415,08:00:00,1.30993,1.31061,1.30939,1.30988,9153.800002
20190415,09:00:00,1.30988,1.31045,1.30915,1.31004,6695.139993
20190415,10:00:00,1.31004,1.31142,1.30966,1.31099,9846.309992
20190415,11:00:00,1.31094,1.31143,1.31035,1.31063,8910.559978
20190415,12:00:00,1.31065,1.31149,1.31036,1.31138,8624.779976
20190415,13:00:00,1.3114,1.31188,1.30937,1.31026,8715.869997
20190415,14:00:00,1.31024,1.31174,1.30979,1.31149,10671.72999
20190415,15:00:00,1.31151,1.31168,1.30976,1.31036,9088.249958
20190415,16:00:00,1.31039,1.31092,1.31001,1.31075,7041.069978
20190415,17:00:00,1.31074,1.31079,1.30949,1.30969,5834.64999
20190415,18:00:00,1.3097,1.31013,1.30908,1.30962,5821.849983
20190415,19:00:00,1.3096,1.30994,1.30859,1.3098,5711.979977
20190415,20:00:00,1.3098,1.30994,1.3092,1.30967,4501.589984
20190415,21:00:00,1.30871,1.30976,1.30871,1.30976,3399.820004
20190415,22:00:00,1.30976,1.3101,1.30956,1.30967,1674.9
20190415,23:00:00,1.30969,1.31004,1.30968,1.3099,1042.43
20190416,00:00:00,1.3099,1.31003,1.30954,1.3099,2459.389997
20190416,01:00:00,1.30991,1.30992,1.30789,1.30802,3350.959999
20190416,02:00:00,1.30803,1.30895,1.30802,1.30871,1913.280005
20190416,03:00:00,1.3087,1.30937,1.3085,1.309,1709.219999
20190416,04:00:00,1.30899,1.30904,1.30879,1.30893,1073.29
20190416,05:00:00,1.30891,1.30936,1.30879,1.30924,1952.779999
20190416,06:00:00,1.3092,1.30985,1.30873,1.30929,7290.239976
20190416,07:00:00,1.30927,1.30957,1.30724,1.30798,11452.11
20190416,08:00:00,1.30799,1.30948,1.30782,1.30879,7665.079996
20190416,09:00:00,1.30882,1.30908,1.30739,1.3081,11398.62999
20190416,10:00:00,1.30809,1.30871,1.3076,1.30862,10840.32996
20190416,11:00:00,1.30862,1.30932,1.30821,1.30926,10008.37998
20190416,12:00:00,1.30926,1.30945,1.30481,1.30626,15731.21996
20190416,13:00:00,1.30627,1.30737,1.30549,1.3069,12827.63996
20190416,14:00:00,1.30691,1.30721,1.30492,1.30544,12889.03995
20190416,15:00:00,1.30546,1.3058,1.30432,1.30479,8832.769977
20190416,16:00:00,1.30479,1.30583,1.30422,1.30508,5789.859987
20190416,17:00:00,1.30508,1.3059,1.30483,1.30582,3546.789986
20190416,18:00:00,1.30583,1.30608,1.30506,1.30506,2649.049992
20190416,19:00:00,1.30506,1.30551,1.30451,1.3048,3262.069996
20190416,20:00:00,1.30479,1.30523,1.30447,1.3045,2746.469994
20190416,21:00:00,1.30446,1.3055,1.3044,1.30453,5639.610025
20190416,22:00:00,1.30453,1.30535,1.30389,1.30407,1966.349996
20190416,23:00:00,1.30406,1.30454,1.30402,1.30435,1775.589998
20190417,00:00:00,1.30436,1.30446,1.30319,1.30426,2704.679996
20190417,01:00:00,1.30426,1.30507,1.30386,1.30477,2014.920006
20190417,02:00:00,1.30477,1.30538,1.3046,1.30527,3559.289994
20190417,03:00:00,1.30526,1.30578,1.30519,1.30572,1520.020001
20190417,04:00:00,1.30572,1.30603,1.30556,1.30583,1889.699997
20190417,05:00:00,1.30583,1.30669,1.30583,1.30662,2130.709997
20190417,06:00:00,1.30661,1.30666,1.30488,1.30507,6308.209978
20190417,07:00:00,1.30504,1.30623,1.30457,1.30463,10320.09999
20190417,08:00:00,1.30464,1.30604,1.30382,1.30413,12400.57996
20190417,09:00:00,1.30413,1.30468,1.30317,1.30397,10125.25998
20190417,10:00:00,1.30397,1.30518,1.30395,1.3046,11151.59996
20190417,11:00:00,1.3046,1.30597,1.30444,1.30574,12394.09998
